split,filename,long_side,width,height,megapixels,fp32_infer_s,fp16_infer_s,fp32_total_s,fp16_total_s,rss_before_mb,rss_after_mb,gpu_peak_mb,psnr_fp32_gt,psnr_fp16_gt
val,0000.jpg,1024,1024,682,0.698368,0.34266368099997635,0.22199491600258625,0.34533326200107695,0.22589966699888464,1536.7421875,1555.0625,1002.16162109375,24.06158036722438,22.386835096689957
val,0001.jpg,1024,1024,683,0.699392,0.3443841230000544,0.22005566699954215,0.34687483600282576,0.2218347519992676,1536.7421875,1555.21875,1002.16162109375,18.688305245529346,17.71504741757788
val,0002.jpg,1024,1024,683,0.699392,0.3460191410013067,0.22217107599863084,0.3493098529979761,0.22604331399998046,1536.7421875,1555.21875,1002.16162109375,18.121054406471075,17.32089352089378
val,0003.jpg,1024,1024,683,0.699392,0.3434323649998987,0.2238833049996174,0.34667224300210364,0.2267422639997676,1536.7421875,1555.21875,1002.16162109375,19.397349443767457,18.774676275094507
val,0000.jpg,1536,1536,1023,1.571328,0.8086191510010394,0.5298453270006576,0.8123704879981233,0.5332981110004766,1775.45703125,1766.40625,67282.0908203125,23.051218527100616,22.239483518077616
val,0001.jpg,1536,1536,1024,1.572864,0.8198115220002364,0.5293588700005785,0.824480281000433,0.5346251510018192,1775.45703125,1820.2265625,67282.0908203125,18.926437937940978,18.184012302368615
val,0002.jpg,1536,1536,1024,1.572864,0.8155064230013522,0.5326070579976658,0.8198254490016552,0.5365159760003735,1775.45703125,1757.4296875,67282.0908203125,18.669316242446893,17.548398245544178
val,0003.jpg,1536,1536,1025,1.5744,17.60270969300109,11.07277722699655,17.72111077199952,11.076101687001938,1775.45703125,1815.9140625,67282.0908203125,19.931805012717206,19.50179824978887
val,0000.jpg,2048,2048,1364,2.793472,1.4868854750020546,0.9731299039995065,1.5070775789972686,0.9823888409991923,1920.09765625,1952.19921875,3671.8173828125,23.950442669004666,22.476528356215958
val,0001.jpg,2048,2048,1366,2.797568,1.4937938650000433,0.9780208720003429,1.5159978320007212,0.987636054000177,1920.09765625,1952.25,3671.8173828125,19.238720707214522,18.389157607166197
val,0002.jpg,2048,2048,1366,2.797568,1.5018006469981628,0.9692360549997829,1.5207610040015425,0.9784603670013894,1920.09765625,1952.25,3671.8173828125,18.950385971610487,17.68453621531527
val,0003.jpg,2048,2048,1366,2.797568,1.5002512339997338,0.9689610140012519,1.520597896000254,0.9789245659994776,1920.09765625,1952.25,3671.8173828125,20.306812142712218,20.034886089383022
val,0000.jpg,full,3301,2199,7.258899,3.9108626950001053,2.589946604999568,3.9675092679972295,2.6319988060022297,2242.80859375,2314.64453125,9345.865234375,23.277631453691452,22.207070520192737
val,0001.jpg,full,3299,2200,7.2578,3.9308582189987646,2.588111590997869,3.988372938001703,2.6336959919972287,2242.80859375,2314.6328125,9345.865234375,19.004428436241426,18.534356910920657
val,0002.jpg,full,3299,2200,7.2578,3.9253913479988114,2.587728351001715,3.9825883459998295,2.6354974229980144,2242.80859375,2314.6328125,9345.865234375,18.922895475551314,17.79983299198552
val,0003.jpg,full,3298,2200,7.2556,3.938907117000781,2.6054453309989185,3.996486815998651,2.6450925139979518,2242.80859375,2314.60546875,9345.865234375,21.20421463732925,20.350857302245892
